Interval=	0.001 s
ExcelDateTime=	4.5785665005895287e+004	5/8/2025 15:57:36.509353
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
0.076	-0.4816406	-0.4710938	-0.3304688	-0.4007813	-0.4605469	-0.1933594	-0.3199219	-0.4253906
0.077	0.03164063	0.0421875	0.16875	0.084375	0.09140625	0.2144531	0.1511719	0.05273438
0.078	0.5097656	0.5203125	0.6292969	0.534375	0.6152344	0.5835938	0.5941406	0.4886719
0.079	1.001953	1.008984	1.100391	0.9914063	1.149609	0.9492188	1.040625	0.9351563
0.08	1.364063	1.364063	1.448438	1.314844	1.543359	1.191797	1.353516	1.248047
0.081	1.529297	1.522266	1.606641	1.451953	1.726172	1.276172	1.483594	1.371094
0.082	1.515234	1.497656	1.592578	1.416797	1.715625	1.223438	1.451953	1.335938
0.083	1.357031	1.332422	1.434375	1.244531	1.539844	1.065234	1.286719	1.174219
0.084	0.9914063	0.9703125	1.086328	0.8929688	1.153125	0.759375	0.9421875	0.8191406
0.085	0.4640625	0.4464844	0.5871094	0.3972656	0.5941406	0.3410156	0.45	0.3199219
0.086	-0.0140625	-0.03515625	0.1160156	-0.05273438	0.06679688	-0.02460938	0.01054688	-0.1160156
0.087	-0.50625	-0.5238281	-0.3550781	-0.5132813	-0.4640625	-0.3972656	-0.4253906	-0.5589844
0.088	-0.9316406	-0.9386719	-0.7628906	-0.8929688	-0.928125	-0.703125	-0.8050781	-0.9351563
0.089	-1.156641	-1.156641	-0.9808594	-1.089844	-1.188281	-0.8402344	-1.008984	-1.125
0.09	-1.191797	-1.188281	-1.016016	-1.107422	-1.241016	-0.8332031	-1.033594	-1.132031
0.091	-1.072266	-1.058203	-0.9070313	-0.9808594	-1.117969	-0.7136719	-0.9070313	-0.9949219
0.092	-0.7875	-0.7664063	-0.6398438	-0.6996094	-0.815625	-0.4640625	-0.6363281	-0.7066406
0.093	-0.2953125	-0.2707031	-0.1722656	-0.2285156	-0.2953125	-0.06328125	-0.1828125	-0.2355469
0.094	0.2039063	0.2285156	0.3128906	0.2425781	0.2355469	0.3199219	0.2671875	0.2285156
0.095	0.6996094	0.7171875	0.7875	0.6960938	0.7664063	0.6890625	0.7101563	0.675
0.096	1.174219	1.184766	1.2375	1.128516	1.279688	1.030078	1.139063	1.103906
0.097	1.469531	1.473047	1.51875	1.392188	1.603125	1.219922	1.392188	1.346484
0.098	1.567969	1.564453	1.617188	1.466016	1.715625	1.255078	1.466016	1.40625
0.099	1.497656	1.487109	1.546875	1.381641	1.645313	1.163672	1.385156	1.325391
0.1	1.276172	1.262109	1.335938	1.163672	1.416797	0.9703125	1.177734	1.107422
0.101	0.8367188	0.8226563	0.9175781	0.7382813	0.9457031	0.6082031	0.7628906	0.6785156
0.102	0.3128906	0.2988281	0.4148438	0.2425781	0.3832031	0.196875	0.2777344	0.1863281
0.103	-0.1582031	-0.1757813	-0.03867188	-0.196875	-0.1230469	-0.1582031	-0.1476563	-0.2425781
0.104	-0.646875	-0.6609375	-0.5132813	-0.646875	-0.6539063	-0.5273438	-0.5835938	-0.6785156
0.105	-1.008984	-1.016016	-0.8578125	-0.9703125	-1.047656	-0.7734375	-0.9	-0.9984375
0.106	-1.174219	-1.174219	-1.0125	-1.103906	-1.2375	-0.8542969	-1.040625	-1.128516
0.107	-1.156641	-1.149609	-0.9914063	-1.06875	-1.226953	-0.8015625	-1.008984	-1.086328
0.108	-0.9914063	-0.9738281	-0.8367188	-0.8964844	-1.051172	-0.646875	-0.8367188	-0.9070313
0.109	-0.6292969	-0.6117188	-0.4957031	-0.5484375	-0.6644531	-0.3410156	-0.4921875	-0.5519531
0.11	-0.1125	-0.09140625	0	-0.05625	-0.1089844	0.07382813	-0.0140625	-0.06679688
0.111	0.365625	0.3867188	0.4675781	0.3902344	0.4078125	0.45	0.4253906	0.3726563
0.112	0.8613281	0.8789063	0.9457031	0.8507813	0.9457031	0.8191406	0.8789063	0.8261719
0.113	1.286719	1.29375	1.35	1.233984	1.40625	1.114453	1.251563	1.202344
0.114	1.511719	1.511719	1.567969	1.430859	1.655859	1.244531	1.434375	1.385156
0.115	1.546875	1.543359	1.610156	1.444922	1.708594	1.2375	1.455469	1.392188
0.116	1.427344	1.416797	1.494141	1.318359	1.589063	1.110938	1.335938	1.265625
0.117	1.139063	1.125	1.219922	1.037109	1.286719	0.8648438	1.065234	0.9773438
0.118	0.6433594	0.6257813	0.7417969	0.5625	0.7558594	0.4605469	0.6011719	0.4992188
0.119	0.140625	0.1230469	0.253125	0.08789063	0.2109375	0.0703125	0.1371094	0.03515625
0.12	-0.3339844	-0.3515625	-0.2074219	-0.3550781	-0.3058594	-0.2882813	-0.2953125	-0.39375
0.121	-0.7910156	-0.8015625	-0.6503906	-0.7734375	-0.8050781	-0.6292969	-0.7066406	-0.8015625
0.122	-1.089844	-1.093359	-0.9316406	-1.033594	-1.135547	-0.8191406	-0.9667969	-1.061719
0.123	-1.202344	-1.195313	-1.033594	-1.121484	-1.265625	-0.8613281	-1.054688	-1.139063
0.124	-1.132031	-1.117969	-0.9667969	-1.037109	-1.195313	-0.7769531	-0.9703125	-1.051172
0.125	-0.9105469	-0.8929688	-0.7628906	-0.815625	-0.9597656	-0.5800781	-0.7523438	-0.8226563
0.126	-0.4710938	-0.4535156	-0.3480469	-0.39375	-0.4992188	-0.2109375	-0.3445313	-0.4007813
0.127	0.0421875	0.05976563	0.1511719	0.09492188	0.04921875	0.2003906	0.1265625	0.07734375
0.128	0.5273438	0.5414063	0.6222656	0.5449219	0.5695313	0.5625	0.5625	0.5132813
0.129	1.026563	1.033594	1.096875	0.9984375	1.110938	0.928125	1.016016	0.9667969
0.13	1.385156	1.385156	1.444922	1.318359	1.504688	1.170703	1.335938	1.279688
0.131	1.543359	1.543359	1.603125	1.458984	1.691016	1.262109	1.466016	1.395703
0.132	1.525781	1.51875	1.585547	1.423828	1.676953	1.212891	1.434375	1.353516
0.133	1.360547	1.342969	1.427344	1.251563	1.508203	1.054688	1.276172	1.188281
0.134	0.9949219	0.9738281	1.079297	0.8964844	1.121484	0.7453125	0.928125	0.8296875
0.135	0.4710938	0.45	0.5800781	0.3972656	0.5589844	0.3234375	0.4359375	0.3304688
0.136	-0.00703125	-0.028125	0.1125	-0.04921875	0.03867188	-0.0421875	0	-0.1054688
0.137	-0.4992188	-0.5203125	-0.3621094	-0.50625	-0.4886719	-0.4113281	-0.4359375	-0.5519531
0.138	-0.9246094	-0.9351563	-0.7664063	-0.8894531	-0.9457031	-0.7101563	-0.8050781	-0.928125
0.139	-1.149609	-1.156641	-0.9808594	-1.082813	-1.198828	-0.8472656	-0.9984375	-1.114453
0.14	-1.188281	-1.184766	-1.016016	-1.100391	-1.255078	-0.8367188	-1.019531	-1.125
0.141	-1.061719	-1.054688	-0.9035156	-0.9738281	-1.132031	-0.7171875	-0.8929688	-0.984375
0.142	-0.7734375	-0.7628906	-0.6363281	-0.6960938	-0.8226563	-0.4710938	-0.61875	-0.6960938
0.143	-0.2847656	-0.2671875	-0.1617188	-0.2214844	-0.2988281	-0.06328125	-0.1652344	-0.225
0.144	0.2109375	0.2320313	0.3199219	0.2496094	0.2320313	0.3234375	0.2847656	0.2320313
0.145	0.6996094	0.7207031	0.7910156	0.703125	0.759375	0.6925781	0.7277344	0.6785156
0.146	1.170703	1.184766	1.2375	1.132031	1.269141	1.030078	1.153125	1.100391
0.147	1.4625	1.469531	1.51875	1.388672	1.592578	1.219922	1.402734	1.346484
0.148	1.564453	1.560938	1.620703	1.4625	1.708594	1.255078	1.476563	1.40625
0.149	1.490625	1.483594	1.550391	1.374609	1.638281	1.163672	1.399219	1.321875
0.15	1.269141	1.255078	1.342969	1.153125	1.409766	0.9667969	1.188281	1.100391
0.151	0.8296875	0.8121094	0.9246094	0.73125	0.9421875	0.5976563	0.7734375	0.6714844
0.152	0.3128906	0.2882813	0.421875	0.2390625	0.3832031	0.1863281	0.2882813	0.1863281
0.153	-0.1546875	-0.1792969	-0.03164063	-0.2003906	-0.1300781	-0.16875	-0.1371094	-0.2390625
0.154	-0.6433594	-0.6644531	-0.50625	-0.6503906	-0.6574219	-0.5308594	-0.5695313	-0.6820313
0.155	-1.001953	-1.023047	-0.8507813	-0.9738281	-1.051172	-0.7769531	-0.8824219	-1.001953
0.156	-1.167188	-1.174219	-0.9984375	-1.103906	-1.233984	-0.8578125	-1.019531	-1.128516
0.157	-1.142578	-1.146094	-0.9808594	-1.06875	-1.223438	-0.8050781	-0.984375	-1.079297
0.158	-0.9738281	-0.9703125	-0.8296875	-0.8964844	-1.051172	-0.6503906	-0.815625	-0.9
0.159	-0.6117188	-0.6046875	-0.4816406	-0.5449219	-0.6644531	-0.3445313	-0.4746094	-0.5414063
0.16	-0.09492188	-0.08789063	0.0140625	-0.05273438	-0.1125	0.07382813	0	-0.05625
0.161	0.3867188	0.39375	0.4816406	0.4007813	0.4078125	0.4535156	0.4394531	0.3832031
0.162	0.8824219	0.8894531	0.9632813	0.8613281	0.9457031	0.8261719	0.8894531	0.8402344
0.163	1.297266	1.304297	1.360547	1.244531	1.402734	1.117969	1.265625	1.212891
0.164	1.51875	1.51875	1.575	1.437891	1.652344	1.255078	1.451953	1.388672
0.165	1.553906	1.546875	1.610156	1.451953	1.698047	1.244531	1.469531	1.395703
0.166	1.430859	1.420313	1.494141	1.321875	1.575	1.121484	1.35	1.265625
0.167	1.142578	1.128516	1.219922	1.040625	1.272656	0.8753906	1.075781	0.9773438
0.168	0.6433594	0.6292969	0.7453125	0.5660156	0.7417969	0.4675781	0.6117188	0.5027344
0.169	0.1476563	0.1300781	0.2636719	0.09492188	0.2074219	0.08085938	0.1476563	0.0421875
0.17	-0.3199219	-0.3339844	-0.1898438	-0.3410156	-0.2988281	-0.2742188	-0.2707031	-0.3832031
0.171	-0.7839844	-0.7945313	-0.6363281	-0.7664063	-0.8050781	-0.6152344	-0.6855469	-0.7980469
0.172	-1.079297	-1.086328	-0.9210938	-1.026563	-1.139063	-0.8085938	-0.9492188	-1.054688
0.173	-1.177734	-1.177734	-1.0125	-1.100391	-1.258594	-0.8402344	-1.026563	-1.117969
0.174	-1.093359	-1.093359	-0.9457031	-1.0125	-1.184766	-0.7523438	-0.9421875	-1.023047
0.175	-0.871875	-0.8683594	-0.7382813	-0.7910156	-0.9527344	-0.5554688	-0.7277344	-0.7910156
0.176	-0.4359375	-0.4289063	-0.3199219	-0.3726563	-0.4851563	-0.1898438	-0.3234375	-0.3691406
0.177	0.07734375	0.084375	0.16875	0.1125	0.05625	0.2144531	0.1441406	0.1054688
0.178	0.5519531	0.5625	0.6292969	0.5589844	0.5730469	0.5800781	0.5800781	0.5414063
0.179	1.044141	1.051172	1.100391	1.008984	1.107422	0.9457031	1.026563	0.984375
0.18	1.399219	1.395703	1.437891	1.328906	1.494141	1.184766	1.335938	1.29375
0.181	1.557422	1.546875	1.592578	1.458984	1.673438	1.265625	1.4625	1.409766
0.182	1.532813	1.522266	1.575	1.420313	1.659375	1.209375	1.423828	1.367578
0.183	1.364063	1.346484	1.416797	1.248047	1.490625	1.051172	1.265625	1.195313
0.184	0.9949219	0.9738281	1.06875	0.8929688	1.103906	0.7453125	0.9175781	0.8367188
0.185	0.4746094	0.4535156	0.5660156	0.3972656	0.5449219	0.3269531	0.4289063	0.3410156
0.186	0	-0.02109375	0.1054688	-0.04921875	0.028125	-0.03515625	-0.003515625	-0.09140625
0.187	-0.4886719	-0.50625	-0.3585938	-0.5027344	-0.4886719	-0.3972656	-0.4359375	-0.5308594
0.188	-0.9035156	-0.9175781	-0.7558594	-0.8789063	-0.9421875	-0.6960938	-0.8050781	-0.9
0.189	-1.125	-1.139063	-0.9667969	-1.075781	-1.195313	-0.8296875	-0.9949219	-1.086328
0.19	-1.163672	-1.170703	-1.001953	-1.089844	-1.244531	-0.8191406	-1.0125	-1.100391
0.191	-1.047656	-1.040625	-0.8929688	-0.9632813	-1.121484	-0.6960938	-0.8859375	-0.9632813
0.192	-0.7628906	-0.7488281	-0.6257813	-0.6820313	-0.8226563	-0.45	-0.6117188	-0.675
0.193	-0.2742188	-0.2601563	-0.1582031	-0.2144531	-0.2988281	-0.04570313	-0.1582031	-0.2109375
0.194	0.2144531	0.2320313	0.3199219	0.253125	0.2355469	0.3375	0.2882813	0.2390625
0.195	0.6996094	0.7171875	0.7875	0.703125	0.7628906	0.703125	0.73125	0.6820313
0.196	1.167188	1.174219	1.233984	1.128516	1.265625	1.037109	1.153125	1.103906
0.197	1.455469	1.455469	1.511719	1.381641	1.585547	1.223438	1.399219	1.342969
0.198	1.550391	1.546875	1.603125	1.455469	1.698047	1.255078	1.466016	1.40625
0.199	1.473047	1.4625	1.529297	1.367578	1.624219	1.167188	1.385156	1.318359
0.2	1.251563	1.2375	1.318359	1.146094	1.388672	0.9703125	1.177734	1.093359
0.201	0.815625	0.7945313	0.9	0.7207031	0.9246094	0.6082031	0.7628906	0.6644531
0.202	0.3058594	0.28125	0.4113281	0.2390625	0.3691406	0.2039063	0.28125	0.1863281
0.203	-0.1617188	-0.1828125	-0.03867188	-0.196875	-0.1371094	-0.1511719	-0.140625	-0.2390625
0.204	-0.6433594	-0.6574219	-0.50625	-0.646875	-0.6574219	-0.5167969	-0.5695313	-0.6714844
0.205	-0.9914063	-1.008984	-0.8402344	-0.9667969	-1.044141	-0.7664063	-0.8824219	-0.9878906
0.206	-1.156641	-1.167188	-0.9949219	-1.096875	-1.226953	-0.8472656	-1.019531	-1.117969
0.207	-1.139063	-1.139063	-0.9773438	-1.058203	-1.216406	-0.7910156	-0.9808594	-1.072266
0.208	-0.9738281	-0.9632813	-0.8261719	-0.8859375	-1.037109	-0.6363281	-0.8085938	-0.8929688
0.209	-0.6117188	-0.5976563	-0.478125	-0.534375	-0.6503906	-0.3304688	-0.4675781	-0.534375
0.21	-0.09492188	-0.08085938	0.01757813	-0.0421875	-0.1019531	0.084375	0	-0.05273438
0.211	0.3867188	0.4007813	0.4851563	0.4113281	0.4113281	0.4535156	0.4359375	0.3867188
0.212	0.8824219	0.8929688	0.9597656	0.871875	0.9457031	0.8226563	0.8824219	0.84375
0.213	1.297266	1.304297	1.35	1.248047	1.395703	1.114453	1.255078	1.212891
0.214	1.515234	1.515234	1.560938	1.437891	1.641797	1.248047	1.437891	1.385156
0.215	1.550391	1.543359	1.599609	1.451953	1.6875	1.233984	1.455469	1.392188
0.216	1.430859	1.413281	1.483594	1.321875	1.564453	1.110938	1.335938	1.262109
0.217	1.139063	1.117969	1.209375	1.037109	1.262109	0.8613281	1.061719	0.9773438
0.218	0.646875	0.6222656	0.7382813	0.5660156	0.7382813	0.4605469	0.5976563	0.5027344
0.219	0.1546875	0.1265625	0.2671875	0.0984375	0.2074219	0.07734375	0.1476563	0.04570313
0.22	-0.3199219	-0.3445313	-0.1933594	-0.3410156	-0.3058594	-0.28125	-0.2777344	-0.3832031
0.221	-0.7875	-0.8050781	-0.6433594	-0.7699219	-0.8121094	-0.6222656	-0.6890625	-0.8015625
0.222	-1.075781	-1.089844	-0.9175781	-1.023047	-1.132031	-0.8050781	-0.9421875	-1.054688
0.223	-1.167188	-1.18125	-1.001953	-1.089844	-1.244531	-0.8367188	-1.016016	-1.117969
0.224	-1.089844	-1.096875	-0.9351563	-1.001953	-1.174219	-0.7488281	-0.9316406	-1.019531
0.225	-0.8683594	-0.8648438	-0.7277344	-0.7804688	-0.9386719	-0.5519531	-0.7136719	-0.7875
0.226	-0.4359375	-0.4289063	-0.309375	-0.365625	-0.4746094	-0.1863281	-0.309375	-0.365625
0.227	0.07382813	0.08085938	0.1863281	0.1160156	0.06679688	0.2144531	0.1546875	0.1019531
0.228	0.5519531	0.5589844	0.6503906	0.5589844	0.5835938	0.5765625	0.590625	0.5378906
0.229	1.044141	1.044141	1.114453	1.008984	1.117969	0.9351563	1.033594	0.984375
0.23	1.392188	1.388672	1.451953	1.325391	1.501172	1.174219	1.342969	1.286719
0.231	1.546875	1.532813	1.603125	1.455469	1.680469	1.255078	1.473047	1.399219
0.232	1.522266	1.504688	1.582031	1.416797	1.666406	1.202344	1.437891	1.357031
0.233	1.357031	1.335938	1.420313	1.244531	1.494141	1.047656	1.276172	1.188281
0.234	0.9878906	0.9632813	1.06875	0.8929688	1.103906	0.7382813	0.928125	0.8261719
0.235	0.4710938	0.4429688	0.5695313	0.4007813	0.5449219	0.3199219	0.4429688	0.3339844
0.236	-0.003515625	-0.028125	0.1125	-0.0421875	0.028125	-0.03867188	0.00703125	-0.0984375
0.237	-0.4921875	-0.5132813	-0.3550781	-0.4921875	-0.4921875	-0.4042969	-0.421875	-0.5414063
0.238	-0.9035156	-0.9246094	-0.7523438	-0.8683594	-0.9421875	-0.6996094	-0.7910156	-0.9070313
0.239	-1.125	-1.139063	-0.9632813	-1.061719	-1.195313	-0.8332031	-0.9878906	-1.093359
0.24	-1.160156	-1.163672	-0.9914063	-1.075781	-1.244531	-0.8226563	-1.005469	-1.100391
0.241	-1.037109	-1.030078	-0.8789063	-0.9457031	-1.114453	-0.6996094	-0.871875	-0.9597656
0.242	-0.7488281	-0.7417969	-0.6117188	-0.6644531	-0.8085938	-0.45	-0.5976563	-0.675
0.243	-0.2601563	-0.253125	-0.140625	-0.1933594	-0.2917969	-0.04921875	-0.1476563	-0.2074219
0.244	0.2285156	0.2390625	0.3304688	0.2707031	0.2320313	0.3304688	0.2988281	0.2425781
0.245	0.7136719	0.7242188	0.7980469	0.7207031	0.7558594	0.6960938	0.7417969	0.6855469
0.246	1.18125	1.18125	1.241016	1.146094	1.265625	1.030078	1.163672	1.103906
0.247	1.466016	1.458984	1.51875	1.395703	1.582031	1.212891	1.40625	1.342969
0.248	1.557422	1.546875	1.610156	1.4625	1.691016	1.241016	1.473047	1.399219
0.249	1.480078	1.4625	1.532813	1.374609	1.617188	1.146094	1.388672	1.311328
0.25	1.255078	1.241016	1.318359	1.153125	1.381641	0.9527344	1.174219	1.089844
0.251	0.8121094	0.8015625	0.8964844	0.7347656	0.9070313	0.5941406	0.7628906	0.6644531
0.252	0.2953125	0.2847656	0.4042969	0.2496094	0.3550781	0.1898438	0.2847656	0.1792969
0.253	-0.1722656	-0.1863281	-0.04570313	-0.1898438	-0.1476563	-0.1617188	-0.1371094	-0.2460938
0.254	-0.6539063	-0.6679688	-0.5132813	-0.6363281	-0.6679688	-0.5238281	-0.5660156	-0.6855469
0.255	-1.005469	-1.008984	-0.8507813	-0.9492188	-1.054688	-0.7664063	-0.8753906	-0.9949219
0.256	-1.163672	-1.163672	-0.9949219	-1.075781	-1.2375	-0.8472656	-1.005469	-1.121484
0.257	-1.139063	-1.135547	-0.9738281	-1.040625	-1.223438	-0.7980469	-0.9667969	-1.075781
0.258	-0.9667969	-0.9597656	-0.815625	-0.8683594	-1.047656	-0.6398438	-0.7945313	-0.8929688
0.259	-0.6046875	-0.590625	-0.4710938	-0.5167969	-0.6644531	-0.3304688	-0.4535156	-0.5378906
0.26	-0.09140625	-0.07382813	0.02109375	-0.02109375	-0.1160156	0.08085938	0.0140625	-0.05273438
0.261	0.3902344	0.4007813	0.4851563	0.421875	0.3972656	0.4464844	0.45	0.3832031
0.262	0.8824219	0.8894531	0.9597656	0.8753906	0.9351563	0.815625	0.9	0.8296875
0.263	1.29375	1.297266	1.353516	1.251563	1.388672	1.103906	1.269141	1.198828
0.264	1.515234	1.508203	1.567969	1.437891	1.634766	1.233984	1.451953	1.371094
